date,state,district,pincode,total,zscore
2025-02-11,Bihar,West Champaran,845438,149,5.887196886168044
2025-02-11,Delhi,East Delhi,110092,85,3.0384327568029112
2025-02-11,Delhi,West Delhi,110059,167,6.6884117975519874
2025-02-11,Haryana,Faridabad,121004,121,4.640862579570799
2025-02-11,Haryana,Panipat,132103,111,4.195743184357497
2025-02-11,Maharashtra,Thane,400612,105,3.9286715472295155
2025-02-11,Manipur,Churachandpur,795128,134,5.219517793348091
2025-02-11,Manipur,Imphal West,795001,176,7.0890192532439595
2025-02-11,Manipur,Senapati,795129,86,3.0829446963242417
2025-02-11,Manipur,Thoubal,795138,146,5.753661067604054
2025-02-11,Telangana,Medchal-malkajgiri,500055,96,3.5280640915375434
2025-02-11,Telangana,Nirmal,504103,119,4.551838700528138
2025-02-11,Telangana,Suryapet,508204,103,3.839647668186855
2025-03-11,Bihar,Araria,854334,148,5.842684946646714
2025-03-11,Bihar,Aurangabad,824102,97,3.572576031058874
2025-03-11,Bihar,Banka,813205,99,3.661599910101534
2025-03-11,Bihar,Banka,813211,96,3.5280640915375434
2025-03-11,Bihar,Bhagalpur,813205,85,3.0384327568029112
2025-03-11,Bihar,Bhagalpur,853202,112,4.240255123878827
2025-03-11,Bihar,Bhagalpur,853204,134,5.219517793348091
2025-03-11,Bihar,East Champaran,845437,115,4.373790942442818
2025-03-11,Bihar,Gaya,823001,135,5.264029732869421
2025-03-11,Bihar,Gaya,824206,101,3.7506237891441945
2025-03-11,Bihar,Gaya,824211,94,3.4390402124948833
2025-01-11,West Bengal,Hooghly,712401,103,3.839647668186855
2025-01-11,West Bengal,Hooghly,712410,104,3.884159607708185
2025-01-11,West Bengal,Malda,732102,85,3.0384327568029112
2025-01-11,West Bengal,Malda,732207,86,3.0829446963242417
2025-01-11,West Bengal,Murshidabad,742166,116,4.418302881964148
2025-01-11,West Bengal,Murshidabad,742226,95,3.4835521520162134
2025-01-11,West Bengal,Paschim Medinipur,721232,90,3.2609924544095623
2025-01-11,West Bengal,Puruliya,723129,134,5.219517793348091
2025-01-11,West Bengal,South 24 Parganas,700135,104,3.884159607708185
2025-01-11,West Bengal,South 24 Parganas,743370,86,3.0829446963242417
2025-01-11,West Bengal,South 24 Parganas,743376,149,5.887196886168044
2025-01-11,West Bengal,South 24 Parganas,743504,120,4.596350640049468
2025-02-11,West Bengal,Murshidabad,742304,106,3.9731834867508455
2025-02-11,West Bengal,South 24 Parganas,743376,86,3.0829446963242417
,West Bengal,Murshidabad,742136,88,3.1719685753669022
,West Bengal,Murshidabad,742163,85,3.0384327568029112
,West Bengal,Murshidabad,742165,124,4.774398398134789
,West Bengal,Murshidabad,742166,127,4.90793421669878
,West Bengal,Murshidabad,742308,141,5.531101369997402
,West Bengal,Nadia,741126,148,5.842684946646714
,West Bengal,Nadia,741501,86,3.0829446963242417
,West Bengal,Paschim Medinipur,721155,134,5.219517793348091
,West Bengal,Paschim Medinipur,721165,109,4.106719305314836
,West Bengal,Paschim Medinipur,721211,142,5.575613309518732
,West Bengal,Paschim Medinipur,721426,99,3.661599910101534
,West Bengal,Puruliya,723129,114,4.329279002921487
,West Bengal,Puruliya,723152,131,5.0859819747841
,West Bengal,Puruliya,723212,85,3.0384327568029112
,West Bengal,South 24 Parganas,700135,103,3.839647668186855
,West Bengal,South 24 Parganas,743330,131,5.0859819747841
,West Bengal,South 24 Parganas,743609,104,3.884159607708185
,West Bengal,Uttar Dinajpur,733143,102,3.7951357286655245
,West Bengal,West Midnapore,721232,89,3.2164805148882323
2025-03-11,Maharashtra,Nagpur,441108,91,3.305504393930893
2025-03-11,Maharashtra,Osmanabad,413503,89,3.2164805148882323
2025-03-11,Maharashtra,Osmanabad,413601,129,4.99695809574144
2025-03-11,Maharashtra,Parbhani,431521,105,3.9286715472295155
2025-03-11,Maharashtra,Parbhani,431540,91,3.305504393930893
2025-03-11,Maharashtra,Pune,411014,103,3.839647668186855
2025-03-11,Maharashtra,Pune,411033,130,5.04147003526277
2025-03-11,Maharashtra,Pune,411048,121,4.640862579570799
2025-03-11,Maharashtra,Pune,412206,85,3.0384327568029112
2025-03-11,Maharashtra,Pune,412207,109,4.106719305314836
2025-03-11,Maharashtra,Sangli,416413,110,4.151231244836167
2025-03-11,Maharashtra,Sangli,416416,150,5.931708825689374
2025-03-11,Maharashtra,Solapur,413208,122,4.685374519092129
2025-03-11,Maharashtra,Solapur,413322,113,4.284767063400157
2025-03-11,Maharashtra,Thane,400604,94,3.4390402124948833
2025-03-11,Maharashtra,Thane,421202,90,3.2609924544095623
2025-03-11,Maharashtra,Wardha,442001,104,3.884159607708185
2025-03-11,Maharashtra,Yavatmal,445209,87,3.1274566358455718
2025-03-11,Manipur,Imphal East,795114,101,3.7506237891441945
2025-03-11,Manipur,Thoubal,795138,136,5.308541672390751
2025-03-11,Punjab,Ludhiana,141007,115,4.373790942442818
2025-03-11,Punjab,Ludhiana,141008,103,3.839647668186855
2025-03-11,Rajasthan,Alwar,301001,168,6.732923737073318
2025-03-11,Rajasthan,Jalor,343041,96,3.5280640915375434
2025-03-11,Rajasthan,Udaipur,313001,116,4.418302881964148
2025-04-11,Bihar,Araria,854325,104,3.884159607708185
2025-04-11,Bihar,Araria,854329,136,5.308541672390751
2025-04-11,Bihar,Banka,813101,131,5.0859819747841
2025-04-11,Bihar,Begusarai,851211,128,4.95244615622011
2025-04-11,Bihar,East Champaran,845302,157,6.243292402338686
2025-04-11,Bihar,East Champaran,845437,143,5.620125249040062
2025-04-11,Bihar,Gaya,824236,90,3.2609924544095623
2025-04-11,Bihar,Gopalganj,841428,120,4.596350640049468
2025-04-11,Bihar,Kaimur (Bhabua),821102,111,4.195743184357497
2025-04-11,Bihar,Kaimur (Bhabua),821106,103,3.839647668186855
2025-04-11,Bihar,Khagaria,851204,105,3.9286715472295155
2025-04-11,Bihar,Madhubani,847402,138,5.397565551433412
2025-04-11,Bihar,Muzaffarpur,843109,116,4.418302881964148
2025-04-11,Bihar,Patna,803201,87,3.1274566358455718
2025-04-11,Bihar,Purnia,854304,104,3.884159607708185
2025-04-11,Bihar,Samastipur,848210,91,3.305504393930893
2025-04-11,Bihar,Sitamarhi,843323,90,3.2609924544095623
2025-04-11,Bihar,Supaul,847452,131,5.0859819747841
2025-04-11,Bihar,Supaul,852111,95,3.4835521520162134
2025-04-11,Bihar,West Champaran,845101,154,6.109756583774695
2025-04-11,Bihar,West Champaran,845450,123,4.729886458613459
2025-04-11,Chhattisgarh,Baloda Bazar,493118,91,3.305504393930893
2025-04-11,Chhattisgarh,Bastar,494001,102,3.7951357286655245
2025-04-11,Chhattisgarh,Bilaspur,495001,120,4.596350640049468
2025-04-11,Chhattisgarh,Kawardha,491995,112,4.240255123878827
2025-04-11,Chhattisgarh,Mahasamund,493449,89,3.2164805148882323
2025-04-11,Delhi,East Delhi,110092,144,5.664637188561393
2025-04-11,Delhi,East Delhi,110096,97,3.572576031058874
2025-04-11,Delhi,North West Delhi,110085,112,4.240255123878827
2025-04-11,Delhi,South West Delhi,110043,93,3.394528272973553
2025-04-11,Delhi,West Delhi,110041,98,3.617087970580204
2025-04-11,Gujarat,Panchmahals,389001,105,3.9286715472295155
2025-03-11,Bihar,Gaya,824236,88,3.1719685753669022
2025-03-11,Bihar,Katihar,854104,134,5.219517793348091
2025-03-11,Bihar,Khagaria,848203,94,3.4390402124948833
2025-03-11,Bihar,Kishanganj,855116,127,4.90793421669878
2025-03-11,Bihar,Lakhisarai,811311,181,7.311578950850611
2025-03-11,Bihar,Madhepura,852112,118,4.507326761006808
2025-03-11,Bihar,Madhepura,852128,136,5.308541672390751
2025-03-11,Bihar,Madhubani,847225,113,4.284767063400157
2025-03-11,Bihar,Madhubani,847228,91,3.305504393930893
2025-03-11,Bihar,Muzaffarpur,843113,130,5.04147003526277
2025-03-11,Bihar,Muzaffarpur,843115,88,3.1719685753669022
2025-03-11,Bihar,Nalanda,801303,93,3.394528272973553
2025-03-11,Bihar,Nalanda,803110,121,4.640862579570799
2025-03-11,Bihar,Rohtas,802215,110,4.151231244836167
2025-03-11,Bihar,Saran,841101,122,4.685374519092129
2025-03-11,Bihar,Saran,841219,89,3.2164805148882323
2025-03-11,Bihar,Sheikhpura,811101,85,3.0384327568029112
2025-03-11,Bihar,Sheohar,843329,140,5.486589430476072
2025-03-11,Bihar,Sitamarhi,843314,108,4.062207365793506
2025-03-11,Bihar,Sitamarhi,843331,115,4.373790942442818
2025-03-11,Bihar,Supaul,852131,133,5.175005853826761
2025-03-11,Bihar,Vaishali,844102,96,3.5280640915375434
2025-03-11,Bihar,West Champaran,845307,145,5.709149128082724
2025-03-11,Bihar,West Champaran,845404,121,4.640862579570799
2025-03-11,Bihar,West Champaran,845453,134,5.219517793348091
2025-03-11,Chhattisgarh,Bastar,494001,91,3.305504393930893
2025-03-11,Chhattisgarh,Kawardha,491995,151,5.976220765210705
2025-03-11,Chhattisgarh,Mahasamund,493558,113,4.284767063400157
2025-03-11,Chhattisgarh,Mungeli,495115,101,3.7506237891441945
2025-03-11,Chhattisgarh,Raipur,492001,105,3.9286715472295155
2025-03-11,Chhattisgarh,Surguja,497001,110,4.151231244836167
2025-03-11,Chhattisgarh,Surguja,497101,91,3.305504393930893
2025-03-11,Chhattisgarh,Surguja,497111,128,4.95244615622011
2025-03-11,Delhi,East Delhi,110096,123,4.729886458613459
2025-03-11,Delhi,North East Delhi,110093,86,3.0829446963242417
2025-03-11,Delhi,North West Delhi,110042,142,5.575613309518732
2025-03-11,Delhi,South West Delhi,110045,143,5.620125249040062
2025-03-11,Delhi,West Delhi,110041,163,6.510364039466667
2025-03-11,Jharkhand,Sahebganj,816108,129,4.99695809574144
2025-03-11,Madhya Pradesh,Bhopal,462001,117,4.462814821485478
2025-03-11,Madhya Pradesh,Burhanpur,450331,109,4.106719305314836
2025-03-11,Madhya Pradesh,Chhindwara,480001,128,4.95244615622011
2025-03-11,Uttar Pradesh,Agra,283111,94,3.4390402124948833
2025-03-11,Uttar Pradesh,Auraiya,206122,88,3.1719685753669022
2025-03-11,Uttar Pradesh,Auraiya,206244,85,3.0384327568029112
2025-03-11,Uttar Pradesh,Ballia,221712,107,4.017695426272176
2025-03-11,Uttar Pradesh,Bareilly,243122,93,3.394528272973553
2025-03-11,Uttar Pradesh,Bareilly,262406,132,5.130493914305431
2025-03-11,Uttar Pradesh,Bijnor,246731,91,3.305504393930893
2025-03-11,Uttar Pradesh,Budaun,243638,106,3.9731834867508455
2025-03-11,Uttar Pradesh,Budaun,243639,93,3.394528272973553
2025-03-11,Uttar Pradesh,Bulandshahr,203001,161,6.421340160424006
2025-03-11,Uttar Pradesh,Chandauli,232101,135,5.264029732869421
2025-03-11,Uttar Pradesh,Farrukhabad,209625,103,3.839647668186855
2025-03-11,Uttar Pradesh,Ghaziabad,201014,92,3.350016333452223
2025-03-11,Uttar Pradesh,Gonda,271504,93,3.394528272973553
2025-03-11,Uttar Pradesh,Hardoi,241406,86,3.0829446963242417
2025-03-11,Uttar Pradesh,Hardoi,241407,95,3.4835521520162134
2025-03-11,Uttar Pradesh,Hathras,204101,158,6.287804341860016
2025-03-11,Uttar Pradesh,Hathras,281306,85,3.0384327568029112
2025-03-11,Uttar Pradesh,Jhansi,284204,158,6.287804341860016
2025-03-11,Uttar Pradesh,Kanpur Nagar,209202,109,4.106719305314836
2025-03-11,Uttar Pradesh,Kaushambi,212216,88,3.1719685753669022
2025-03-11,Uttar Pradesh,Kaushambi,212217,100,3.7061118496228644
2025-03-11,Uttar Pradesh,Kheri,262723,85,3.0384327568029112
2025-03-11,Uttar Pradesh,Maharajganj,273164,112,4.240255123878827
2025-03-11,Uttar Pradesh,Muzaffarnagar,251002,88,3.1719685753669022
2025-03-11,Uttar Pradesh,Rampur,244921,99,3.661599910101534
2025-03-11,Uttar Pradesh,Rampur,244924,86,3.0829446963242417
2025-03-11,Uttar Pradesh,Sant Kabir Nagar,272125,120,4.596350640049468
2025-03-11,Uttar Pradesh,Shahjahanpur,242221,139,5.442077490954742
2025-03-11,Uttar Pradesh,Siddharthnagar,272192,128,4.95244615622011
2025-03-11,Uttar Pradesh,Sitapur,261201,147,5.798173007125384
2025-03-11,Uttar Pradesh,Sitapur,261205,90,3.2609924544095623
2025-03-11,Uttar Pradesh,Sitapur,261303,91,3.305504393930893
2025-03-11,Uttar Pradesh,Sultanpur,228001,117,4.462814821485478
2025-03-11,Uttarakhand,Nainital,263139,144,5.664637188561393
2025-03-11,West Bengal,Bankura,722143,139,5.442077490954742
2025-03-11,West Bengal,Birbhum,731214,87,3.1274566358455718
2025-03-11,West Bengal,Dakshin Dinajpur,733121,104,3.884159607708185
2025-03-11,West Bengal,Jalpaiguri,735210,164,6.554875978987997
2025-03-11,West Bengal,Jalpaiguri,735220,131,5.0859819747841
2025-03-11,West Bengal,Jalpaiguri,736206,99,3.661599910101534
2025-03-11,West Bengal,Koch Bihar,736134,142,5.575613309518732
2025-03-11,West Bengal,Koch Bihar,736146,143,5.620125249040062
2025-03-11,West Bengal,Malda,732138,113,4.284767063400157
2025-03-11,West Bengal,Malda,732201,127,4.90793421669878
2025-03-11,West Bengal,Murshidabad,742148,104,3.884159607708185
2025-03-11,West Bengal,Murshidabad,742224,122,4.685374519092129
2025-03-11,West Bengal,Murshidabad,742302,116,4.418302881964148
2025-03-11,West Bengal,Nadia,741222,88,3.1719685753669022
2025-04-11,Bihar,Bhagalpur,853202,125,4.818910337656119
2025-04-11,Bihar,Bhagalpur,853205,94,3.4390402124948833
2025-04-11,Bihar,East Champaran,845412,100,3.7061118496228644
2025-04-11,Bihar,East Champaran,845416,100,3.7061118496228644
2025-04-11,Bihar,Gaya,823003,114,4.329279002921487
2025-04-11,Bihar,Gopalganj,841405,149,5.887196886168044
2025-04-11,Bihar,Gopalganj,841426,107,4.017695426272176
2025-04-11,Bihar,Jamui,811303,104,3.884159607708185
2025-04-11,Bihar,Jamui,811308,105,3.9286715472295155
2025-04-11,Bihar,Jamui,811312,97,3.572576031058874
2025-04-11,Bihar,Kaimur (Bhabua),821101,111,4.195743184357497
2025-04-11,Bihar,Kaimur (Bhabua),821110,96,3.5280640915375434
2025-04-11,Bihar,Katihar,854101,106,3.9731834867508455
2025-04-11,Bihar,Katihar,854107,95,3.4835521520162134
2025-04-11,Bihar,Katihar,854108,106,3.9731834867508455
2025-04-11,Bihar,Katihar,854113,100,3.7061118496228644
2025-04-11,Bihar,Khagaria,848203,133,5.175005853826761
2025-04-11,Bihar,Kishanganj,855115,93,3.394528272973553
2025-04-11,Bihar,Madhubani,847225,138,5.397565551433412
2025-04-11,Bihar,Madhubani,847235,88,3.1719685753669022
2025-04-11,Bihar,Madhubani,847404,115,4.373790942442818
2025-04-11,Bihar,Nalanda,803107,109,4.106719305314836
2025-04-11,Bihar,Patna,800008,94,3.4390402124948833
2025-04-11,Bihar,Patna,801104,92,3.350016333452223
2025-04-11,Bihar,Patna,803213,99,3.661599910101534
2025-04-11,Bihar,Samastipur,848114,133,5.175005853826761
2025-04-11,Bihar,Sitamarhi,843316,106,3.9731834867508455
2025-04-11,Bihar,Sitamarhi,843327,102,3.7951357286655245
2025-04-11,Bihar,Sitamarhi,843331,107,4.017695426272176
2025-04-11,Bihar,Supaul,852214,97,3.572576031058874
2025-04-11,Bihar,West Champaran,845306,135,5.264029732869421
2025-04-11,Bihar,West Champaran,845404,89,3.2164805148882323
2025-04-11,Bihar,West Champaran,845459,138,5.397565551433412
2025-04-11,Chhattisgarh,Kawardha,491559,120,4.596350640049468
2025-04-11,Chhattisgarh,Raipur,492001,103,3.839647668186855
2025-04-11,Delhi,North East Delhi,110053,97,3.572576031058874
2025-04-11,Delhi,North East Delhi,110094,152,6.020732704732035
2025-04-11,Delhi,North West Delhi,110086,156,6.198780462817355
2025-04-11,Delhi,South Delhi,110044,128,4.95244615622011
2025-04-11,Delhi,South Delhi,110062,128,4.95244615622011
2025-04-11,Haryana,Kaithal,136027,85,3.0384327568029112
2025-04-11,Haryana,Sonipat,131001,94,3.4390402124948833
2025-04-11,Haryana,Yamuna Nagar,135001,113,4.284767063400157
2025-04-11,Jharkhand,Bokaro,827013,145,5.709149128082724
2025-04-11,Jharkhand,Chatra,825401,133,5.175005853826761
2025-03-11,Bihar,Aurangabad,824125,103,3.839647668186855
2025-03-11,Bihar,Aurangabad,824203,89,3.2164805148882323
2025-03-11,Bihar,Banka,813106,149,5.887196886168044
2025-03-11,Bihar,Bhagalpur,812005,133,5.175005853826761
2025-03-11,Bihar,Darbhanga,846003,89,3.2164805148882323
2025-03-11,Bihar,Gaya,824231,86,3.0829446963242417
2025-03-11,Bihar,Gaya,824232,161,6.421340160424006
2025-03-11,Bihar,Gaya,824237,86,3.0829446963242417
2025-03-11,Bihar,Gopalganj,841405,124,4.774398398134789
2025-03-11,Bihar,Kaimur (Bhabua),821106,101,3.7506237891441945
2025-03-11,Bihar,Kaimur (Bhabua),821110,97,3.572576031058874
2025-03-11,Bihar,Katihar,854105,104,3.884159607708185
2025-03-11,Bihar,Katihar,854115,107,4.017695426272176
2025-03-11,Bihar,Khagaria,851204,117,4.462814821485478
2025-03-11,Bihar,Madhepura,852101,92,3.350016333452223
2025-03-11,Bihar,Madhubani,847404,111,4.195743184357497
2025-03-11,Bihar,Madhubani,847408,157,6.243292402338686
2025-03-11,Bihar,Muzaffarpur,843128,96,3.5280640915375434
2025-03-11,Bihar,Nalanda,801302,101,3.7506237891441945
2025-03-11,Bihar,Nalanda,803118,89,3.2164805148882323
2025-03-11,Bihar,Patna,801110,105,3.9286715472295155
2025-03-11,Bihar,Patna,803213,85,3.0384327568029112
2025-03-11,Bihar,Patna,804453,89,3.2164805148882323
2025-03-11,Bihar,Purnia,854326,96,3.5280640915375434
2025-03-11,Bihar,Sitamarhi,843317,113,4.284767063400157
2025-03-11,Bihar,Supaul,852111,107,4.017695426272176
2025-03-11,Bihar,Supaul,852137,105,3.9286715472295155
2025-03-11,Bihar,Supaul,852139,118,4.507326761006808
2025-03-11,Bihar,Supaul,852218,95,3.4835521520162134
2025-03-11,Bihar,West Champaran,845101,130,5.04147003526277
2025-03-11,Bihar,West Champaran,845450,89,3.2164805148882323
2025-03-11,Chhattisgarh,Baloda Bazar,493118,115,4.373790942442818
2025-03-11,Delhi,North East Delhi,110053,156,6.198780462817355
2025-03-11,Delhi,North West Delhi,110034,112,4.240255123878827
2025-03-11,Delhi,South Delhi,110019,90,3.2609924544095623
2025-03-11,Delhi,South West Delhi,110043,145,5.709149128082724
2025-03-11,Gujarat,Ahmedabad,380001,86,3.0829446963242417
2025-03-11,Gujarat,Ahmedabad,382350,92,3.350016333452223
2025-03-11,Gujarat,Surat,395004,135,5.264029732869421
2025-03-11,Haryana,Ambala,134003,93,3.394528272973553
2025-03-11,Haryana,Faridabad,121003,105,3.9286715472295155
2025-03-11,Haryana,Fatehabad,125051,91,3.305504393930893
2025-03-11,Haryana,Rewari,123401,113,4.284767063400157
2025-03-11,Haryana,Rohtak,124001,150,5.931708825689374
2025-04-11,Andhra Pradesh,Chittoor,517425,114,4.329279002921487
2025-04-11,Assam,Nagaon,782124,100,3.7061118496228644
2025-03-11,West Bengal,Paschim Medinipur,721140,107,4.017695426272176
2025-03-11,West Bengal,Paschim Medinipur,721232,89,3.2164805148882323
2025-03-11,West Bengal,South 24 Parganas,743349,112,4.240255123878827
2025-03-11,West Bengal,South 24 Parganas,743609,113,4.284767063400157
2025-04-11,Uttar Pradesh,Agra,282002,85,3.0384327568029112
2025-04-11,Uttar Pradesh,Bahraich,271801,123,4.729886458613459
2025-04-11,Uttar Pradesh,Banda,210125,90,3.2609924544095623
2025-04-11,Uttar Pradesh,Bareilly,243001,123,4.729886458613459
2025-04-11,Uttar Pradesh,Bijnor,246761,90,3.2609924544095623
2025-04-11,Uttar Pradesh,Chandauli,232103,134,5.219517793348091
2025-04-11,Uttar Pradesh,Chitrakoot,210209,92,3.350016333452223
2025-04-11,Uttar Pradesh,Deoria,274001,147,5.798173007125384
2025-04-11,Uttar Pradesh,Farrukhabad,209625,124,4.774398398134789
2025-04-11,Uttar Pradesh,Fatehpur,212655,90,3.2609924544095623
2025-04-11,Uttar Pradesh,Ghaziabad,201001,158,6.287804341860016
2025-04-11,Uttar Pradesh,Hapur,245101,119,4.551838700528138
2025-04-11,Uttar Pradesh,Jalaun,285001,154,6.109756583774695
2025-04-11,Uttar Pradesh,Kheri,261506,103,3.839647668186855
2025-04-11,Uttar Pradesh,Kheri,262804,149,5.887196886168044
2025-04-11,Uttar Pradesh,Kheri,262902,143,5.620125249040062
2025-04-11,Uttar Pradesh,Kheri,262903,97,3.572576031058874
2025-04-11,Uttar Pradesh,Kushinagar,274802,99,3.661599910101534
2025-04-11,Uttar Pradesh,Mahoba,210427,93,3.394528272973553
2025-04-11,Uttar Pradesh,Mainpuri,205001,94,3.4390402124948833
2025-04-11,Uttar Pradesh,Muzaffarnagar,251001,140,5.486589430476072
2025-04-11,Uttar Pradesh,Rampur,244921,90,3.2609924544095623
2025-04-11,Uttar Pradesh,Sambhal,244302,123,4.729886458613459
2025-04-11,Uttar Pradesh,Sant Kabir Nagar,272125,92,3.350016333452223
2025-04-11,Uttar Pradesh,Sant Ravidas Nagar,221404,90,3.2609924544095623
2025-04-11,Uttar Pradesh,Shahjahanpur,242307,91,3.305504393930893
2025-04-11,Uttar Pradesh,Shamli,247774,91,3.305504393930893
2025-04-11,Uttar Pradesh,Sitapur,261001,143,5.620125249040062
2025-04-11,Uttar Pradesh,Sitapur,261135,122,4.685374519092129
2025-04-11,Uttar Pradesh,Sitapur,261141,88,3.1719685753669022
2025-04-11,Uttar Pradesh,Unnao,241501,104,3.884159607708185
2025-04-11,West Bengal,Bankura,722137,85,3.0384327568029112
2025-04-11,West Bengal,Bankura,722164,122,4.685374519092129
2025-04-11,West Bengal,Bankura,722205,119,4.551838700528138
2025-04-11,West Bengal,Barddhaman,713101,97,3.572576031058874
2025-04-11,West Bengal,Birbhum,731224,128,4.95244615622011
2025-04-11,West Bengal,Birbhum,731237,111,4.195743184357497
2025-04-11,West Bengal,Dakshin Dinajpur,733125,94,3.4390402124948833
2025-04-11,West Bengal,Hooghly,712403,94,3.4390402124948833
2025-04-11,West Bengal,Hooghly,712413,111,4.195743184357497
2025-04-11,West Bengal,Jalpaiguri,736202,98,3.617087970580204
2025-04-11,West Bengal,Jalpaiguri,736204,128,4.95244615622011
2025-04-11,West Bengal,Jalpaiguri,736206,99,3.661599910101534
2025-04-11,West Bengal,Malda,732124,86,3.0829446963242417
2025-04-11,West Bengal,Malda,732203,90,3.2609924544095623
2025-05-11,Bihar,Araria,854334,101,3.7506237891441945
